InternshipID,Title,Description,Level,Major,OpenDate,CloseDate,Company,CreatorID,Visible,NumSlots,FilledSlots,Status
100000,Software Engineer Intern,Full-stack development internship,BASIC,Computer Science,2025-10-24,2025-12-03,Facebook,Kchong042@e.ntu.edu.sg,false,5,0,APPROVED
100001,Data Analyst Intern,Business intelligence and analytics,INTERMEDIATE,Data Science & AI,2025-10-24,2025-12-03,Facebook,Kchong042@e.ntu.edu.sg,false,3,1,APPROVED
100002,Backend Developer,Server-side development,INTERMEDIATE,Computer Science,2025-10-24,2025-12-03,TikTok,wenxu@gmail.com,false,4,1,APPROVED
100003,ML Engineer Intern,Machine learning projects,ADVANCED,Computer Science,2025-10-24,2025-12-03,TikTok,wenxu@gmail.com,true,2,0,APPROVED
100004,Frontend Developer,UI/UX development,BASIC,Computer Science,2025-10-24,2025-12-03,Test Company,testrep1@test.com,true,5,0,APPROVED
100005,DevIntern,Infrastructure automation,INTERMEDIATE,Computer Science,2025-10-24,2025-12-03,Facebook,Kchong042@e.ntu.edu.sg,false,3,0,PENDING
100006,Data Scientist Intern,Advanced analytics,ADVANCED,Data Science & AI,2025-10-24,2025-12-03,TikTok,wenxu@gmail.com,true,2,0,APPROVED
100007,QA Engineer Intern,Quality assurance testing,BASIC,Computer Science,2025-10-24,2025-12-03,Test Company,testrep1@test.com,true,4,0,APPROVED
100008,Mobile Developer,iOS/Android development,INTERMEDIATE,Computer Science,2025-10-24,2025-12-03,Facebook,Kchong042@e.ntu.edu.sg,false,3,0,APPROVED
100009,Cloud Engineer Intern,AWS/Azure cloud services,ADVANCED,Computer Science,2025-10-24,2025-12-03,TikTok,wenxu@gmail.com,true,2,0,APPROVED
100010,Security Analyst Intern,Cybersecurity operations,INTERMEDIATE,Computer Science,2025-10-24,2025-12-03,Facebook,Kchong042@e.ntu.edu.sg,true,3,0,APPROVED
100011,Database Admin Intern,Database management,BASIC,Data Science & AI,2025-10-24,2025-12-03,Test Company,testrep1@test.com,true,4,0,APPROVED
100013,Product Manager Intern,Product development,INTERMEDIATE,Computer Science,2025-10-24,2025-12-03,Facebook,Kchong042@e.ntu.edu.sg,true,3,1,APPROVED
100014,Data Engineer Intern,Data pipeline development,INTERMEDIATE,Data Science & AI,2025-10-24,2025-12-03,TikTok,wenxu@gmail.com,true,3,0,APPROVED
100015,System Admin Intern,System administration,BASIC,Computer Science,2025-10-24,2025-12-03,Test Company,testrep1@test.com,true,5,0,APPROVED
100016,Network Engineer Intern,Network infrastructure,INTERMEDIATE,Computer Science,2025-10-24,2025-12-03,Facebook,Kchong042@e.ntu.edu.sg,true,3,0,APPROVED
100017,Business Analyst Intern,Business intelligence,BASIC,Data Science & AI,2025-10-24,2025-12-03,TikTok,wenxu@gmail.com,true,4,0,APPROVED
